year,month,day,hour,BANC Demand (MWh),CISO Demand (MWh),IID Demand (MWh),LDWP Demand (MWh),TIDC Demand (MWh),Total CAL Demand (MWh)
2024,4,20,12,1988,24818,483,2424,334,30047
2024,4,20,1,1873,24573,437,2351,318,29552
2024,4,20,2,1736,23950,393,2228,296,28603
2024,4,20,3,1605,22971,353,2106,274,27309
2024,4,20,4,1512,21588,318,2257,257,25932
2024,4,20,5,1430,20935,293,2140,246,25044
2024,4,20,6,1372,20022,286,2062,236,23978
2024,4,20,7,1339,19363,269,2013,231,23215
2024,4,20,8,1335,19077,274,1999,234,22919
2024,4,20,9,1357,18836,267,1857,237,22554
2024,4,20,10,1388,19174,274,1832,241,22909
2024,4,20,11,1440,19794,272,2130,241,23877
2024,4,20,24,1495,20212,300,2248,240,24495
2024,4,20,13,1499,20972,311,2349,237,25368
2024,4,20,14,1508,20782,345,2366,233,25234
2024,4,20,15,1510,19861,380,2232,232,24215
2024,4,20,16,1534,18686,419,2056,239,22934
2024,4,20,17,1561,17366,455,2026,248,21656
2024,4,20,18,1633,17020,495,2072,260,21480
2024,4,20,19,1721,16720,526,2137,273,21377
2024,4,20,20,1835,17196,554,2260,288,22133
2024,4,20,21,1919,18037,559,2316,303,23134
2024,4,20,22,1958,19410,534,2195,312,24409
2024,4,20,23,1939,21687,510,2302,310,26748
2024,4,21,12,1915,23426,472,2333,304,28450
2024,4,21,1,1817,23774,438,2284,291,28604
2024,4,21,2,1701,23417,398,2326,274,28116
2024,4,21,3,1578,22292,359,2321,257,26807
2024,4,21,4,1504,21260,330,2117,244,25455
2024,4,21,5,1418,20468,310,2055,232,24483
2024,4,21,6,1359,19509,282,2060,223,23433
2024,4,21,7,1329,18931,273,2024,220,22777
2024,4,21,8,1314,18462,266,1997,220,22259
2024,4,21,9,1330,18294,268,1949,220,22061
2024,4,21,10,1356,18503,257,1737,221,22074
2024,4,21,11,1375,18611,278,1938,220,22422
2024,4,21,24,1425,18848,297,2141,218,22929
2024,4,21,13,1451,18983,323,2390,218,23365
2024,4,21,14,1477,19260,366,2383,218,23704
2024,4,21,15,1505,18787,401,2415,221,23329
2024,4,21,16,1548,18005,448,2442,230,22673
2024,4,21,17,1619,17563,496,2504,244,22426
2024,4,21,18,1706,17216,539,2593,260,22314
2024,4,21,19,1832,16711,572,2677,280,22072
2024,4,21,20,1975,17565,590,2418,300,22848
2024,4,21,21,2120,19312,596,2581,322,24931
2024,4,21,22,2202,21723,572,2408,336,27241
2024,4,21,23,2182,23576,528,2463,340,29089
2024,4,22,12,2169,24882,499,2452,343,30345
2024,4,22,1,2041,25080,458,2342,326,30247
2024,4,22,2,1851,24381,410,2383,301,29326
2024,4,22,3,1680,23056,364,2224,278,27602
2024,4,22,4,1559,21602,337,2170,260,25928
2024,4,22,5,1457,20613,316,2061,250,24697
2024,4,22,6,1399,19816,295,2009,243,23762
2024,4,22,7,1363,19226,290,1982,239,23100
2024,4,22,8,1398,19059,282,1911,245,22895
2024,4,22,9,1458,19347,299,1838,260,23202
2024,4,22,10,1565,20464,308,1983,277,24597
2024,4,22,11,1659,21766,342,2374,295,26436
2024,4,22,24,1694,22972,372,2789,300,28127
2024,4,22,13,1721,23351,404,2878,304,28658
2024,4,22,14,1771,23074,432,2885,308,28470
2024,4,22,15,1828,23855,473,2867,319,29342
2024,4,22,16,1893,23732,512,2775,333,29245
2024,4,22,17,1991,23256,562,2757,347,28913
2024,4,22,18,2092,23541,586,2781,366,29366
2024,4,22,19,2206,23410,631,2847,380,29474
2024,4,22,20,2333,22991,639,2704,394,29061
2024,4,22,21,2395,23615,645,2492,407,29554
2024,4,22,22,2362,24540,616,2476,413,30407
2024,4,22,23,2262,25718,578,2499,401,31458
2024,4,23,12,2165,26524,546,2488,389,32112
2024,4,23,1,1996,26625,496,2383,363,31863
2024,4,23,2,1788,25706,437,2241,330,30502
2024,4,23,3,1607,23858,383,2092,302,28242
2024,4,23,4,1517,22215,347,2223,282,26584
2024,4,23,5,1427,21465,322,2134,268,25616
2024,4,23,6,1373,20523,300,2039,258,24493
2024,4,23,7,1354,19952,285,2004,257,23852
2024,4,23,8,1377,19686,285,1929,259,23536
2024,4,23,9,1452,19766,300,1844,274,23636
2024,4,23,10,1556,20830,319,1980,292,24977
2024,4,23,11,1655,22262,325,2350,306,26898
2024,4,23,24,1682,23516,362,2699,302,28561
2024,4,23,13,1686,24049,377,2809,297,29218
2024,4,23,14,1706,23426,392,2838,295,28657
2024,4,23,15,1703,23302,426,2847,293,28571
2024,4,23,16,1719,23479,460,2856,298,28812
2024,4,23,17,1693,22488,493,2782,306,27762
2024,4,23,18,1723,22408,538,2531,308,27508
2024,4,23,19,1731,21621,560,2488,312,26712
2024,4,23,20,1758,21944,590,2528,322,27142
2024,4,23,21,1777,21984,570,2467,334,27132
2024,4,23,22,1781,22585,528,2336,344,27574
2024,4,23,23,1823,23341,496,2404,347,28411
2024,4,24,12,1857,24820,471,2455,349,29952
2024,4,24,1,1776,25244,436,2351,334,30141
2024,4,24,2,1647,24744,386,2203,311,29291
2024,4,24,3,1525,23258,345,2067,290,27485
2024,4,24,4,1464,21673,320,2204,276,25937
2024,4,24,5,1404,21021,290,2095,266,25076
2024,4,24,6,1358,20122,274,2038,259,24051
2024,4,24,7,1351,19609,270,2003,258,23491
2024,4,24,8,1379,19350,279,1949,261,23218
2024,4,24,9,1463,19583,284,1855,274,23459
2024,4,24,10,1580,20724,300,1960,294,24858
2024,4,24,11,1692,22120,324,2262,307,26705
2024,4,24,24,1724,23189,332,2380,309,27934
2024,4,24,13,1774,23734,345,2449,308,28610
2024,4,24,14,1739,23583,365,2683,312,28682
2024,4,24,15,1687,23009,386,2699,308,28089
2024,4,24,16,1666,23298,416,2673,308,28361
2024,4,24,17,1666,22539,443,2648,303,27599
2024,4,24,18,1647,22176,481,2659,304,27267
2024,4,24,19,1677,22233,506,2686,307,27409
2024,4,24,20,1715,22072,518,2751,305,27361
2024,4,24,21,1761,22300,505,2482,310,27358
2024,4,24,22,1783,23120,471,2296,318,27988
2024,4,24,23,1814,23607,446,2417,325,28609
2024,4,25,12,1853,25019,425,2468,331,30096
2024,4,25,1,1790,25559,399,2360,321,30429
2024,4,25,2,1651,25151,363,2282,301,29748
2024,4,25,3,1532,23533,324,2088,282,27759
2024,4,25,4,1465,22100,320,2084,272,26241
2024,4,25,5,1405,21217,290,2032,262,25206
2024,4,25,6,1367,20355,274,2039,255,24290
2024,4,25,7,1338,20109,270,1997,254,23968
2024,4,25,8,1377,19942,279,2021,259,23878
2024,4,25,9,1455,19846,284,1856,273,23714
2024,4,25,10,1579,20969,300,1976,294,25118
2024,4,25,11,1665,22640,324,2312,307,27248
2024,4,25,24,1706,23792,332,2728,307,28865
2024,4,25,13,1676,23832,345,2784,295,28932
2024,4,25,14,1675,23556,365,3040,286,28922
2024,4,25,15,1674,22410,386,3023,287,27780
2024,4,25,16,1680,22029,416,3001,297,27423
2024,4,25,17,1680,21943,443,2988,311,27365
2024,4,25,18,1673,22032,481,2911,313,27410
2024,4,25,19,1699,22174,502,2971,314,27660
2024,4,25,20,1734,22213,511,2885,311,27654
2024,4,25,21,1773,22002,505,2612,317,27209
2024,4,25,22,1788,22844,471,2349,318,27770
2024,4,25,23,1818,23728,446,2425,325,28742
2024,4,26,12,1838,25023,425,2453,329,30068
2024,4,26,1,1765,25463,399,2364,318,30309
2024,4,26,2,1637,25015,363,2198,301,29514
2024,4,26,3,1526,23519,324,2107,282,27758
2024,4,26,4,1498,22082,278,1948,269,26075
2024,4,26,5,1436,21468,269,1999,258,25430
2024,4,26,6,1397,20526,256,1967,249,24395
2024,4,26,7,1378,19955,249,1937,248,23767
2024,4,26,8,1404,19737,264,1956,257,23618
2024,4,26,9,1498,20107,270,2017,271,24163
2024,4,26,10,1605,21131,291,1988,289,25304
2024,4,26,11,1686,22416,308,2338,306,27054
2024,4,26,24,1706,23561,302,2464,305,28338
2024,4,26,13,1742,23661,326,2653,296,28678
2024,4,26,14,1704,23083,318,2636,303,28044
2024,4,26,15,1688,22030,338,2655,295,27006
2024,4,26,16,1664,21969,346,2696,288,26963
2024,4,26,17,1679,21733,355,2691,288,26746
2024,4,26,18,1701,21495,368,2444,287,26295
2024,4,26,19,1736,21458,381,2465,294,26334
2024,4,26,20,1743,20878,387,2515,296,25819
2024,4,26,21,1798,21174,375,2469,306,26122
2024,4,26,22,1778,22409,375,2293,303,27158
2024,4,26,23,1763,22698,375,2348,305,27489
2024,4,27,12,1805,23783,367,2407,311,28673
2024,4,27,1,1758,24367,348,2335,301,29109
2024,4,27,2,1659,24141,321,2232,287,28640
2024,4,27,3,1552,22966,300,2122,271,27211
2024,4,27,4,1492,21740,278,2255,257,26022
2024,4,27,5,1425,21022,263,2128,245,25083
2024,4,27,6,1373,20415,249,2049,239,24325
2024,4,27,7,1363,19802,246,2002,235,23648
2024,4,27,8,1364,19475,246,1988,236,23309
2024,4,27,9,1405,19415,250,1910,238,23218
2024,4,27,10,1435,19628,251,1795,242,23351
2024,4,27,11,1476,20066,263,2012,242,24059
2024,4,27,24,1521,20521,260,2056,239,24597
2024,4,27,13,1513,20547,281,2073,235,24649
2024,4,27,14,1502,19565,288,2058,226,23639
2024,4,27,15,1480,19288,303,2055,223,23349
2024,4,27,16,1545,18493,322,2048,225,22633
2024,4,27,17,1475,18192,349,2248,228,22492
2024,4,27,18,1494,17556,374,2272,233,21929
2024,4,27,19,1569,17304,404,2329,241,21847
2024,4,27,20,1649,17150,426,2347,255,21827
2024,4,27,21,1666,17051,441,2347,268,21773
2024,4,27,22,1685,18938,435,2243,282,23583
2024,4,27,23,1731,20679,421,2218,287,25336
2024,4,28,12,1772,22395,393,2410,291,27261
2024,4,28,1,1711,23106,373,2272,283,27745
2024,4,28,2,1628,22892,344,2258,268,27390
2024,4,28,3,1526,21811,313,2031,253,25934
2024,4,28,4,1465,20981,-31,2052,241,25017
2024,4,28,5,1396,20455,-35,2048,231,24390
2024,4,28,6,1347,20050,-35,1969,226,23839
2024,4,28,7,1329,19523,-36,1926,223,23242
2024,4,28,8,1332,19410,-36,1888,222,23091
2024,4,28,9,1344,19247,-35,1916,224,22973
2024,4,28,10,1361,19171,-22,1762,224,22756
2024,4,28,11,1404,19250,0,2209,222,23085
2024,4,28,24,1464,19212,2,2348,219,23245
2024,4,28,13,1474,18949,4,2353,216,22996
2024,4,28,14,1487,18026,8,2363,212,22096
2024,4,28,15,1491,17233,11,2345,214,21294
2024,4,28,16,1508,16379,11,2370,219,20487
2024,4,28,17,1520,16453,13,2409,226,20621
2024,4,28,18,1554,15936,18,2476,234,20218
2024,4,28,19,1682,15503,23,2290,246,19744
2024,4,28,20,1721,15937,24,2262,263,20207
2024,4,28,21,1804,16912,30,2393,281,21420
2024,4,28,22,1843,19433,9,2323,295,23903
2024,4,28,23,1869,21303,-16,2309,299,26211
2024,4,29,12,1895,23058,-19,2378,306,28054
2024,4,29,1,1819,23752,-17,2294,298,28551
2024,4,29,2,1673,23243,-18,2315,280,27862
2024,4,29,3,1537,21828,-20,2065,262,26012
2024,4,29,4,1455,20578,314,2084,250,24681
2024,4,29,5,1395,19891,290,1961,242,23779
2024,4,29,6,1354,19243,278,1889,236,23000
2024,4,29,7,1338,18769,269,1852,237,22465
2024,4,29,8,1369,18735,269,1882,242,22497
2024,4,29,9,1444,18927,284,1902,257,22814
2024,4,29,10,1556,20365,300,1949,276,24446
2024,4,29,11,1649,21605,326,2342,292,26214
2024,4,29,24,1678,22594,337,2650,290,27549
2024,4,29,13,1668,23171,368,2700,286,28193
2024,4,29,14,1667,22198,388,2711,282,27246
2024,4,29,15,1651,21651,431,2737,279,26749
2024,4,29,16,1659,21259,457,2760,282,26417
2024,4,29,17,1668,20621,500,2797,286,25872
2024,4,29,18,1684,20379,527,2851,292,25733
2024,4,29,19,1730,20096,561,2925,293,25605
2024,4,29,20,1794,20375,579,2936,306,25990
2024,4,29,21,1874,21329,578,2884,316,26981
2024,4,29,22,1900,23080,562,2586,326,28454
2024,4,29,23,1909,24356,539,2575,332,29711
2024,4,30,12,1935,25639,508,2546,336,30964
2024,4,30,1,1833,26135,473,2433,323,31197
2024,4,30,2,1696,25470,420,2256,305,30147
2024,4,30,3,1559,23669,363,2118,288,27997
2024,4,30,4,1492,22338,338,2225,274,26667
2024,4,30,5,1423,21400,311,2109,261,25504
2024,4,30,6,1382,20630,289,2021,252,24574
2024,4,30,7,1366,20131,284,1978,251,24010
2024,4,30,8,1402,19575,278,1702,256,23213
2024,4,30,9,1484,19915,294,1733,270,23696
2024,4,30,10,1597,21151,311,1937,289,25285
2024,4,30,11,1689,22497,338,2337,300,27161
2024,4,30,24,1694,23582,355,2635,294,28560
2024,4,30,13,1672,24185,382,2695,286,29220
2024,4,30,14,1662,23419,398,2955,280,28714
2024,4,30,15,1656,22424,439,2998,280,27797
2024,4,30,16,1730,21785,469,3029,280,27293
2024,4,30,17,1674,21599,514,3086,285,27158
2024,4,30,18,1700,21533,546,3135,292,27206
2024,4,30,19,1737,20993,582,3226,296,26834
2024,4,30,20,1807,21521,594,3002,305,27229
2024,4,30,21,1867,22169,601,2893,317,27847
2024,4,30,22,1905,23974,572,2538,329,29318
2024,4,30,23,1915,24456,536,2516,332,29755
2024,5,1,12,1938,25727,511,2508,336,31020
2024,5,1,1,1854,26307,467,2393,326,31347
2024,5,1,2,1713,25564,419,2204,305,30205
2024,5,1,3,1562,24035,377,2061,284,28319
2024,5,1,4,1504,22738,338,2204,271,27055
2024,5,1,5,1437,21925,317,2108,262,26049
2024,5,1,6,1386,21106,298,2024,255,25069
2024,5,1,7,1377,20711,287,1984,254,24613
2024,5,1,8,1404,20409,287,1809,258,24167
2024,5,1,9,1483,20711,297,1751,271,24513
2024,5,1,10,1586,21817,310,1909,288,25910
2024,5,1,11,1695,23294,325,2319,298,27931
2024,5,1,24,1703,24272,347,2457,293,29072
2024,5,1,13,1679,24313,361,2715,285,29353
2024,5,1,14,1663,23264,385,2732,280,28324
2024,5,1,15,1645,22655,417,2753,276,27746
2024,5,1,16,1640,22169,454,2765,277,27305
2024,5,1,17,1658,21814,497,2820,284,27073
2024,5,1,18,1683,21841,538,2869,293,27224
2024,5,1,19,1731,22061,565,2939,300,27596
2024,5,1,20,1785,21642,583,2792,310,27112
2024,5,1,21,1858,22632,601,2843,322,28256
2024,5,1,22,1903,23885,574,2525,334,29221
2024,5,1,23,1909,24618,546,2486,338,29897
2024,5,2,12,1948,25842,513,2504,342,31149
2024,5,2,1,1867,26546,472,2389,332,31606
2024,5,2,2,1725,25885,419,2209,312,30550
2024,5,2,3,1594,24251,384,2040,292,28561
2024,5,2,4,1522,22911,341,2151,277,27202
2024,5,2,5,1457,22325,302,2033,263,26380
2024,5,2,6,1403,21120,294,2024,257,25098
2024,5,2,7,1396,20467,284,1985,256,24388
2024,5,2,8,1414,20242,286,1813,260,24015
2024,5,2,9,1487,20524,297,1754,274,24336
2024,5,2,10,1586,21694,315,1964,292,25851
2024,5,2,11,1681,23253,333,2367,307,27941
2024,5,2,24,1703,23790,359,2519,304,28675
2024,5,2,13,1722,24338,382,2585,301,29328
2024,5,2,14,1721,24491,407,2575,300,29494
2024,5,2,15,1723,23680,434,2531,298,28666
2024,5,2,16,1755,23450,477,2503,303,28488
2024,5,2,17,1793,22399,514,2542,312,27560
2024,5,2,18,1867,22837,546,2591,323,28164
2024,5,2,19,1935,22521,576,2663,332,28027
2024,5,2,20,2013,22778,595,2760,343,28489
2024,5,2,21,2082,22620,598,2804,354,28458
2024,5,2,22,2111,23985,582,2499,364,29541
2024,5,2,23,2077,24794,550,2444,361,30226
2024,5,3,12,2081,25761,520,2479,361,31202
2024,5,3,1,1992,26112,478,2371,348,31301
2024,5,3,2,1818,25653,427,2479,323,30700
2024,5,3,3,1658,24226,380,2367,300,28931
2024,5,3,4,1559,22896,349,2225,282,27311
2024,5,3,5,1469,22267,317,2117,270,26440
2024,5,3,6,1412,21574,296,2026,262,25570
2024,5,3,7,1386,21068,289,1993,262,24998
2024,5,3,8,1399,20778,289,2004,264,24734
2024,5,3,9,1460,20912,297,2082,275,25026
2024,5,3,10,1552,22068,310,2277,290,26497
2024,5,3,11,1648,23137,333,2400,303,27821
2024,5,3,24,1679,24237,360,2556,301,29133
2024,5,3,13,1688,24720,379,2630,296,29713
2024,5,3,14,1693,24548,409,2627,293,29570
2024,5,3,15,1715,23957,437,2580,291,28980
2024,5,3,16,1742,23185,477,2578,300,28282
2024,5,3,17,1799,22938,509,2595,308,28149
2024,5,3,18,1855,22793,538,2623,315,28124
2024,5,3,19,2003,21488,577,2658,324,27050
2024,5,3,20,2003,21270,593,2685,337,26888
2024,5,3,21,2050,21969,595,2708,345,27667
2024,5,3,22,2036,23190,570,2379,354,28529
2024,5,3,23,1971,24107,536,2388,349,29351
2024,5,4,12,1950,25260,507,2422,340,30479
2024,5,4,1,1854,25920,461,2313,324,30872
2024,5,4,2,1719,25285,418,2206,303,29931
2024,5,4,3,1589,24015,371,2020,284,28279
2024,5,4,4,1522,22751,340,1883,265,26761
2024,5,4,5,1438,21922,319,1773,254,25706
2024,5,4,6,1387,21070,292,1703,242,24694
2024,5,4,7,1354,20396,286,1656,238,23930
2024,5,4,8,1350,19882,276,1949,236,23693
2024,5,4,9,1373,19762,285,1982,240,23642
2024,5,4,10,1403,19889,280,1922,241,23735
2024,5,4,11,1487,20363,291,2146,246,24533
2024,5,4,24,1604,21962,320,2279,256,26421
2024,5,4,13,1678,23136,344,2382,266,27806
2024,5,4,14,1757,23476,365,2441,273,28312
2024,5,4,15,1797,24108,405,2426,274,29010
2024,5,4,16,1797,24503,441,2345,273,29359
2024,5,4,17,1800,24783,471,2351,273,29678
2024,5,4,18,1766,23141,515,2343,277,28042
2024,5,4,19,1625,22028,551,2319,273,26796
2024,5,4,20,1600,20770,542,2306,259,25477
2024,5,4,21,1598,20790,494,2070,246,25198
